Enrollment
7/14/2020

Year,Level,Division,Grade,Count
"2019 - 2020",DIV,"Warren County Public Schools",10,430
"2019 - 2020",DIV,"Warren County Public Schools",11,417
"2019 - 2020",DIV,"Warren County Public Schools",12,412
"2019 - 2020",DIV,"Washington County Public Schools",,7052
"2019 - 2020",DIV,"Washington County Public Schools",PK,217
"2019 - 2020",DIV,"Washington County Public Schools",KG,447
"2019 - 2020",DIV,"Washington County Public Schools",01,483
"2019 - 2020",DIV,"Washington County Public Schools",02,502
"2019 - 2020",DIV,"Washington County Public Schools",03,445
"2019 - 2020",DIV,"Washington County Public Schools",04,511
"2019 - 2020",DIV,"Washington County Public Schools",05,556
"2019 - 2020",DIV,"Washington County Public Schools",06,532
"2019 - 2020",DIV,"Washington County Public Schools",07,575
"2019 - 2020",DIV,"Washington County Public Schools",08,545
"2019 - 2020",DIV,"Washington County Public Schools",09,559
"2019 - 2020",DIV,"Washington County Public Schools",10,565
"2019 - 2020",DIV,"Washington County Public Schools",11,549
"2019 - 2020",DIV,"Washington County Public Schools",12,566
"2019 - 2020",DIV,"Waynesboro City Public Schools",,2961
"2019 - 2020",DIV,"Waynesboro City Public Schools",PK,82
"2019 - 2020",DIV,"Waynesboro City Public Schools",KG,208
"2019 - 2020",DIV,"Waynesboro City Public Schools",01,207
"2019 - 2020",DIV,"Waynesboro City Public Schools",02,220
"2019 - 2020",DIV,"Waynesboro City Public Schools",03,238
"2019 - 2020",DIV,"Waynesboro City Public Schools",04,221
"2019 - 2020",DIV,"Waynesboro City Public Schools",05,236
"2019 - 2020",DIV,"Waynesboro City Public Schools",06,248
"2019 - 2020",DIV,"Waynesboro City Public Schools",07,221
"2019 - 2020",DIV,"Waynesboro City Public Schools",08,223
"2019 - 2020",DIV,"Waynesboro City Public Schools",09,247
"2019 - 2020",DIV,"Waynesboro City Public Schools",10,207
"2019 - 2020",DIV,"Waynesboro City Public Schools",11,218
"2019 - 2020",DIV,"Waynesboro City Public Schools",12,185
"2019 - 2020",DIV,"West Point Public Schools",,802
"2019 - 2020",DIV,"West Point Public Schools",PK,8
"2019 - 2020",DIV,"West Point Public Schools",KG,56
"2019 - 2020",DIV,"West Point Public Schools",01,53
"2019 - 2020",DIV,"West Point Public Schools",02,51
"2019 - 2020",DIV,"West Point Public Schools",03,61
"2019 - 2020",DIV,"West Point Public Schools",04,49
"2019 - 2020",DIV,"West Point Public Schools",05,50
"2019 - 2020",DIV,"West Point Public Schools",06,72
"2019 - 2020",DIV,"West Point Public Schools",07,67
"2019 - 2020",DIV,"West Point Public Schools",08,77
"2019 - 2020",DIV,"West Point Public Schools",09,64
"2019 - 2020",DIV,"West Point Public Schools",10,71
"2019 - 2020",DIV,"West Point Public Schools",11,58
"2019 - 2020",DIV,"West Point Public Schools",12,65
"2019 - 2020",DIV,"Westmoreland County Public Schools",,1603
"2019 - 2020",DIV,"Westmoreland County Public Schools",PK,84
"2019 - 2020",DIV,"Westmoreland County Public Schools",KG,109
"2019 - 2020",DIV,"Westmoreland County Public Schools",01,113
"2019 - 2020",DIV,"Westmoreland County Public Schools",02,125
"2019 - 2020",DIV,"Westmoreland County Public Schools",03,106
"2019 - 2020",DIV,"Westmoreland County Public Schools",04,112
"2019 - 2020",DIV,"Westmoreland County Public Schools",05,106
"2019 - 2020",DIV,"Westmoreland County Public Schools",06,119
"2019 - 2020",DIV,"Westmoreland County Public Schools",07,129
"2019 - 2020",DIV,"Westmoreland County Public Schools",08,121
"2019 - 2020",DIV,"Westmoreland County Public Schools",09,121
"2019 - 2020",DIV,"Westmoreland County Public Schools",10,131
"2019 - 2020",DIV,"Westmoreland County Public Schools",11,121
"2019 - 2020",DIV,"Westmoreland County Public Schools",12,106
"2019 - 2020",DIV,"Williamsburg-James City County Public Schools",,11805
"2019 - 2020",DIV,"Williamsburg-James City County Public Schools",PK,317
"2019 - 2020",DIV,"Williamsburg-James City County Public Schools",KG,789
"2019 - 2020",DIV,"Williamsburg-James City County Public Schools",01,812
"2019 - 2020",DIV,"Williamsburg-James City County Public Schools",02,832
"2019 - 2020",DIV,"Williamsburg-James City County Public Schools",03,902
"2019 - 2020",DIV,"Williamsburg-James City County Public Schools",04,833
"2019 - 2020",DIV,"Williamsburg-James City County Public Schools",05,857
"2019 - 2020",DIV,"Williamsburg-James City County Public Schools",06,886
"2019 - 2020",DIV,"Williamsburg-James City County Public Schools",07,894
"2019 - 2020",DIV,"Williamsburg-James City County Public Schools",08,881
"2019 - 2020",DIV,"Williamsburg-James City County Public Schools",09,943
"2019 - 2020",DIV,"Williamsburg-James City County Public Schools",10,1007
"2019 - 2020",DIV,"Williamsburg-James City County Public Schools",11,902
"2019 - 2020",DIV,"Williamsburg-James City County Public Schools",12,950
"2019 - 2020",DIV,"Winchester City Public Schools",,4392
"2019 - 2020",DIV,"Winchester City Public Schools",PK,153
"2019 - 2020",DIV,"Winchester City Public Schools",KG,323
"2019 - 2020",DIV,"Winchester City Public Schools",01,326
"2019 - 2020",DIV,"Winchester City Public Schools",02,314
"2019 - 2020",DIV,"Winchester City Public Schools",03,319
"2019 - 2020",DIV,"Winchester City Public Schools",04,314
"2019 - 2020",DIV,"Winchester City Public Schools",05,303
"2019 - 2020",DIV,"Winchester City Public Schools",06,337
"2019 - 2020",DIV,"Winchester City Public Schools",07,348
"2019 - 2020",DIV,"Winchester City Public Schools",08,330
"2019 - 2020",DIV,"Winchester City Public Schools",09,380
"2019 - 2020",DIV,"Winchester City Public Schools",10,346
"2019 - 2020",DIV,"Winchester City Public Schools",11,335
"2019 - 2020",DIV,"Winchester City Public Schools",12,264
"2019 - 2020",DIV,"Wise County Public Schools",,5632
"2019 - 2020",DIV,"Wise County Public Schools",PG,1
"2019 - 2020",DIV,"Wise County Public Schools",PK,239
"2019 - 2020",DIV,"Wise County Public Schools",KG,413
"2019 - 2020",DIV,"Wise County Public Schools",01,417
"2019 - 2020",DIV,"Wise County Public Schools",02,387
"2019 - 2020",DIV,"Wise County Public Schools",03,389
"2019 - 2020",DIV,"Wise County Public Schools",04,432
"2019 - 2020",DIV,"Wise County Public Schools",05,438
"2019 - 2020",DIV,"Wise County Public Schools",06,446
"2019 - 2020",DIV,"Wise County Public Schools",07,466
"2019 - 2020",DIV,"Wise County Public Schools",08,405
"2019 - 2020",DIV,"Wise County Public Schools",09,421
"2019 - 2020",DIV,"Wise County Public Schools",10,406
"2019 - 2020",DIV,"Wise County Public Schools",11,360
"2019 - 2020",DIV,"Wise County Public Schools",12,412
"2019 - 2020",DIV,"Wythe County Public Schools",,3982
"2019 - 2020",DIV,"Wythe County Public Schools",PK,116
"2019 - 2020",DIV,"Wythe County Public Schools",KG,278
"2019 - 2020",DIV,"Wythe County Public Schools",01,285
"2019 - 2020",DIV,"Wythe County Public Schools",02,293
"2019 - 2020",DIV,"Wythe County Public Schools",03,268
"2019 - 2020",DIV,"Wythe County Public Schools",04,271
"2019 - 2020",DIV,"Wythe County Public Schools",05,294
"2019 - 2020",DIV,"Wythe County Public Schools",06,297
"2019 - 2020",DIV,"Wythe County Public Schools",07,319
"2019 - 2020",DIV,"Wythe County Public Schools",08,331
"2019 - 2020",DIV,"Wythe County Public Schools",09,327
"2019 - 2020",DIV,"Wythe County Public Schools",10,307
"2019 - 2020",DIV,"Wythe County Public Schools",11,315
"2019 - 2020",DIV,"Wythe County Public Schools",12,281
"2019 - 2020",DIV,"York County Public Schools",,13184
"2019 - 2020",DIV,"York County Public Schools",PK,206
"2019 - 2020",DIV,"York County Public Schools",KG,965
"2019 - 2020",DIV,"York County Public Schools",01,939
"2019 - 2020",DIV,"York County Public Schools",02,994
"2019 - 2020",DIV,"York County Public Schools",03,1001
"2019 - 2020",DIV,"York County Public Schools",04,965
"2019 - 2020",DIV,"York County Public Schools",05,957
"2019 - 2020",DIV,"York County Public Schools",06,1039
"2019 - 2020",DIV,"York County Public Schools",07,1016
"2019 - 2020",DIV,"York County Public Schools",08,1003
"2019 - 2020",DIV,"York County Public Schools",09,1095
"2019 - 2020",DIV,"York County Public Schools",10,989
"2019 - 2020",DIV,"York County Public Schools",11,1033
"2019 - 2020",DIV,"York County Public Schools",12,982
